序号,类别,需求,描述,来源
1,宠物系统,宠物扩展到60只,增加宠物数量至60只,—
2,宠物系统,宠物互动&装扮,给宠物穿戴围巾、帽子等虚拟饰品，小卖部可售卖装饰道具,—
3,宠物系统,满级动画,宠物满级时播放特效动画,—
4,宠物系统,扣分宠物生病,扣分时宠物出现生病状态,—
5,宠物系统,已领养不可重复领养,防止重复领养同一宠物,—
6,宠物系统,幻兽精灵卡片,生成可打印的精灵卡片,—
7,宠物系统,小组共养幻兽,小组模式，多人共同养一只幻兽,—
8,工具箱,悬浮球悬浮在课件上,工具栏可悬浮在PPT等课件上方使用,小红书链接
9,工具箱,静音挑战可选人加分,静音挑战结束后可选择参与的学生加分而非全班（延时课场景）,—
10,工具箱,早读挑战,类似静音挑战，早读声音持续一定时长后集体加1分,—
11,工具箱,积分抽奖,用积分参与抽奖活动,—
12,工具箱,座位表功能,拖动头像排座位，按座位快速加分,—
13,加减分体验,加减分音效,加分/扣分时播放音效,—
14,加减分体验,扫码枪加分,支持扫码枪扫学生码快速加分,—
15,加减分体验,不同班级不同加分策略,各班级可独立配置加分规则,—
16,显示&UI,姓名加头像,幼儿园场景，孩子通过头像找到自己,—
17,显示&UI,全班单页显示,可调整大小让所有学生显示在一个页面内（眼保健操场景）,—
18,家长端&数据,家长绑定查看,家长绑定账号，领养孩子宠物，查看每天加分情况（仅可见自己孩子）,Summer、绕指柔、Soh3g
19,家长端&数据,各科作业收集,完成任务过河机制,中庸
20,家长端&数据,数据每日备份,自动每日备份数据,—
